CostoDespachoId,Comuna,Valor,Pmin,Pmax,Nombre Comuna,numberID
70,1543,2467,601,1000,AZAPA (XV Región de Arica y Parinacota),1642
71,1543,2459,1001,2000,AZAPA (XV Región de Arica y Parinacota),1642
72,1543,2449,2001,3500,AZAPA (XV Región de Arica y Parinacota),1642
73,1543,2444,3501,5000,AZAPA (XV Región de Arica y Parinacota),1642
74,1543,2436,5001,10000,AZAPA (XV Región de Arica y Parinacota),1642
75,1543,2431,10001,18000,AZAPA (XV Región de Arica y Parinacota),1642
76,1544,8577,0,3,POCONCHILE (XV Región de Arica y Parinacota),1643
77,1544,2768,"3,1",6,POCONCHILE (XV Región de Arica y Parinacota),1643
78,1544,2661,"6,1",10,POCONCHILE (XV Región de Arica y Parinacota),1643
79,1544,2644,"10,1",20,POCONCHILE (XV Región de Arica y Parinacota),1643
80,1544,2551,21,50,POCONCHILE (XV Región de Arica y Parinacota),1643
81,1544,2521,51,100,POCONCHILE (XV Región de Arica y Parinacota),1643
82,1544,2497,101,200,POCONCHILE (XV Región de Arica y Parinacota),1643
83,1544,2486,201,400,POCONCHILE (XV Región de Arica y Parinacota),1643
84,1544,2478,401,600,POCONCHILE (XV Región de Arica y Parinacota),1643
85,1544,2467,601,1000,POCONCHILE (XV Región de Arica y Parinacota),1643
86,1544,2459,1001,2000,POCONCHILE (XV Región de Arica y Parinacota),1643
87,1544,2449,2001,3500,POCONCHILE (XV Región de Arica y Parinacota),1643
88,1544,2444,3501,5000,POCONCHILE (XV Región de Arica y Parinacota),1643
89,1544,2436,5001,10000,POCONCHILE (XV Región de Arica y Parinacota),1643
90,1544,2431,10001,18000,POCONCHILE (XV Región de Arica y Parinacota),1643
91,1545,8577,0,3,SOBRAYA (XV Región de Arica y Parinacota),1644
92,1545,2768,"3,1",6,SOBRAYA (XV Región de Arica y Parinacota),1644
93,1545,2661,"6,1",10,SOBRAYA (XV Región de Arica y Parinacota),1644
94,1545,2644,"10,1",20,SOBRAYA (XV Región de Arica y Parinacota),1644
95,1545,2551,21,50,SOBRAYA (XV Región de Arica y Parinacota),1644
96,1545,2521,51,100,SOBRAYA (XV Región de Arica y Parinacota),1644
97,1545,2497,101,200,SOBRAYA (XV Región de Arica y Parinacota),1644
98,1545,2486,201,400,SOBRAYA (XV Región de Arica y Parinacota),1644
99,1545,2478,401,600,SOBRAYA (XV Región de Arica y Parinacota),1644
100,1545,2467,601,1000,SOBRAYA (XV Región de Arica y Parinacota),1644
101,1545,2459,1001,2000,SOBRAYA (XV Región de Arica y Parinacota),1644
102,1545,2449,2001,3500,SOBRAYA (XV Región de Arica y Parinacota),1644
103,1545,2444,3501,5000,SOBRAYA (XV Región de Arica y Parinacota),1644
104,1545,2436,5001,10000,SOBRAYA (XV Región de Arica y Parinacota),1644
105,1545,2431,10001,18000,SOBRAYA (XV Región de Arica y Parinacota),1644
106,1546,8577,0,3,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
107,1546,2768,"3,1",6,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
108,1546,2661,"6,1",10,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
109,1546,2644,"10,1",20,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
110,1546,2551,21,50,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
111,1546,2521,51,100,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
112,1546,2497,101,200,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
113,1546,2486,201,400,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
114,1546,2478,401,600,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
115,1546,2467,601,1000,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
116,1546,2459,1001,2000,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
117,1546,2449,2001,3500,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
118,1546,2444,3501,5000,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
119,1546,2436,5001,10000,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
120,1546,2431,10001,18000,VILLA FRONTERA (XV Región de Arica y Parinacota),1645
121,1547,10759,0,3,CAMARONES (XV Región de Arica y Parinacota),1646
122,1547,3067,"3,1",6,CAMARONES (XV Región de Arica y Parinacota),1646
123,1547,2886,"6,1",10,CAMARONES (XV Región de Arica y Parinacota),1646
124,1547,2851,"10,1",20,CAMARONES (XV Región de Arica y Parinacota),1646
125,1547,2677,21,50,CAMARONES (XV Región de Arica y Parinacota),1646
126,1547,2620,51,100,CAMARONES (XV Región de Arica y Parinacota),1646
127,1547,2575,101,200,CAMARONES (XV Región de Arica y Parinacota),1646
128,1547,2551,201,400,CAMARONES (XV Región de Arica y Parinacota),1646
129,1547,2536,401,600,CAMARONES (XV Región de Arica y Parinacota),1646
130,1547,2516,601,1000,CAMARONES (XV Región de Arica y Parinacota),1646
131,1547,2498,1001,2000,CAMARONES (XV Región de Arica y Parinacota),1646
132,1547,2478,2001,3500,CAMARONES (XV Región de Arica y Parinacota),1646
133,1547,2470,3501,5000,CAMARONES (XV Región de Arica y Parinacota),1646
134,1547,2453,5001,10000,CAMARONES (XV Región de Arica y Parinacota),1646
135,1547,2444,10001,18000,CAMARONES (XV Región de Arica y Parinacota),1646
136,1548,10759,0,3,CUYA (XV Región de Arica y Parinacota),1647
137,1548,3067,"3,1",6,CUYA (XV Región de Arica y Parinacota),1647
138,1548,2886,"6,1",10,CUYA (XV Región de Arica y Parinacota),1647
139,1548,2851,"10,1",20,CUYA (XV Región de Arica y Parinacota),1647
140,1548,2677,21,50,CUYA (XV Región de Arica y Parinacota),1647
