"zone","continent","country","state","postcode","class","weight","price","quantity","volume","cost","comment","active"
"RIO GRANDE (II Región de Antofagasta)",,,"CL:199",,,"0-3",,,,"12821",,1
,,,"CL:199",,,"3.1-6",,,,"3526",,1
,,,"CL:199",,,"6.1-10",,,,"3205",,1
,,,"CL:199",,,"10.1-20",,,,"3060",,1
,,,"CL:199",,,"21-50",,,,"2763",,1
,,,"CL:199",,,"51-100",,,,"2667",,1
,,,"CL:199",,,"101-200",,,,"2593",,1
,,,"CL:199",,,"201-400",,,,"2552",,1
,,,"CL:199",,,"401-600",,,,"2526",,1
,,,"CL:199",,,"601-1000",,,,"2492",,1
,,,"CL:199",,,"1001-2000",,,,"2461",,1
,,,"CL:199",,,"2001-3500",,,,"2424",,1
,,,"CL:199",,,"3501-5000",,,,"2409",,1
,,,"CL:199",,,"5001-10000",,,,"2382",,1
,,,"CL:199",,,"10001-18000",,,,"2366",,1
"SAN BARTOLO (II Región de Antofagasta)",,,"CL:200",,,"0-3",,,,"12821",,1
,,,"CL:200",,,"3.1-6",,,,"3526",,1
,,,"CL:200",,,"6.1-10",,,,"3205",,1
,,,"CL:200",,,"10.1-20",,,,"3060",,1
,,,"CL:200",,,"21-50",,,,"2763",,1
,,,"CL:200",,,"51-100",,,,"2667",,1
,,,"CL:200",,,"101-200",,,,"2593",,1
,,,"CL:200",,,"201-400",,,,"2552",,1
,,,"CL:200",,,"401-600",,,,"2526",,1
,,,"CL:200",,,"601-1000",,,,"2492",,1
,,,"CL:200",,,"1001-2000",,,,"2461",,1
,,,"CL:200",,,"2001-3500",,,,"2424",,1
,,,"CL:200",,,"3501-5000",,,,"2409",,1
,,,"CL:200",,,"5001-10000",,,,"2382",,1
,,,"CL:200",,,"10001-18000",,,,"2366",,1
"SAN PEDRO (II Región de Antofagasta)",,,"CL:201",,,"0-3",,,,"12821",,1
,,,"CL:201",,,"3.1-6",,,,"3526",,1
,,,"CL:201",,,"6.1-10",,,,"3205",,1
,,,"CL:201",,,"10.1-20",,,,"3060",,1
,,,"CL:201",,,"21-50",,,,"2763",,1
,,,"CL:201",,,"51-100",,,,"2667",,1
,,,"CL:201",,,"101-200",,,,"2593",,1
,,,"CL:201",,,"201-400",,,,"2552",,1
,,,"CL:201",,,"401-600",,,,"2526",,1
,,,"CL:201",,,"601-1000",,,,"2492",,1
,,,"CL:201",,,"1001-2000",,,,"2461",,1
,,,"CL:201",,,"2001-3500",,,,"2424",,1
,,,"CL:201",,,"3501-5000",,,,"2409",,1
,,,"CL:201",,,"5001-10000",,,,"2382",,1
,,,"CL:201",,,"10001-18000",,,,"2366",,1
"SANTA ROSA (II Región de Antofagasta)",,,"CL:202",,,"0-3",,,,"12821",,1
,,,"CL:202",,,"3.1-6",,,,"3526",,1
,,,"CL:202",,,"6.1-10",,,,"3205",,1
,,,"CL:202",,,"10.1-20",,,,"3060",,1
,,,"CL:202",,,"21-50",,,,"2763",,1
,,,"CL:202",,,"51-100",,,,"2667",,1
,,,"CL:202",,,"101-200",,,,"2593",,1
,,,"CL:202",,,"201-400",,,,"2552",,1
,,,"CL:202",,,"401-600",,,,"2526",,1
,,,"CL:202",,,"601-1000",,,,"2492",,1
,,,"CL:202",,,"1001-2000",,,,"2461",,1
,,,"CL:202",,,"2001-3500",,,,"2424",,1
,,,"CL:202",,,"3501-5000",,,,"2409",,1
,,,"CL:202",,,"5001-10000",,,,"2382",,1
,,,"CL:202",,,"10001-18000",,,,"2366",,1
"SOCAIRE (II Región de Antofagasta)",,,"CL:203",,,"0-3",,,,"12821",,1
,,,"CL:203",,,"3.1-6",,,,"3526",,1
,,,"CL:203",,,"6.1-10",,,,"3205",,1
,,,"CL:203",,,"10.1-20",,,,"3060",,1
,,,"CL:203",,,"21-50",,,,"2763",,1
,,,"CL:203",,,"51-100",,,,"2667",,1
,,,"CL:203",,,"101-200",,,,"2593",,1
,,,"CL:203",,,"201-400",,,,"2552",,1
,,,"CL:203",,,"401-600",,,,"2526",,1
,,,"CL:203",,,"601-1000",,,,"2492",,1
,,,"CL:203",,,"1001-2000",,,,"2461",,1
,,,"CL:203",,,"2001-3500",,,,"2424",,1
,,,"CL:203",,,"3501-5000",,,,"2409",,1
,,,"CL:203",,,"5001-10000",,,,"2382",,1
,,,"CL:203",,,"10001-18000",,,,"2366",,1
"TALABRE (II Región de Antofagasta)",,,"CL:204",,,"0-3",,,,"12821",,1
,,,"CL:204",,,"3.1-6",,,,"3526",,1
,,,"CL:204",,,"6.1-10",,,,"3205",,1
,,,"CL:204",,,"10.1-20",,,,"3060",,1
,,,"CL:204",,,"21-50",,,,"2763",,1
,,,"CL:204",,,"51-100",,,,"2667",,1
,,,"CL:204",,,"101-200",,,,"2593",,1
,,,"CL:204",,,"201-400",,,,"2552",,1
,,,"CL:204",,,"401-600",,,,"2526",,1
,,,"CL:204",,,"601-1000",,,,"2492",,1
,,,"CL:204",,,"1001-2000",,,,"2461",,1
,,,"CL:204",,,"2001-3500",,,,"2424",,1
,,,"CL:204",,,"3501-5000",,,,"2409",,1
,,,"CL:204",,,"5001-10000",,,,"2382",,1
,,,"CL:204",,,"10001-18000",,,,"2366",,1
"TILO POZO (II Región de Antofagasta)",,,"CL:205",,,"0-3",,,,"12821",,1
,,,"CL:205",,,"3.1-6",,,,"3526",,1
,,,"CL:205",,,"6.1-10",,,,"3205",,1
,,,"CL:205",,,"10.1-20",,,,"3060",,1
,,,"CL:205",,,"21-50",,,,"2763",,1
,,,"CL:205",,,"51-100",,,,"2667",,1
,,,"CL:205",,,"101-200",,,,"2593",,1
,,,"CL:205",,,"201-400",,,,"2552",,1
,,,"CL:205",,,"401-600",,,,"2526",,1
,,,"CL:205",,,"601-1000",,,,"2492",,1
,,,"CL:205",,,"1001-2000",,,,"2461",,1
,,,"CL:205",,,"2001-3500",,,,"2424",,1
,,,"CL:205",,,"3501-5000",,,,"2409",,1
,,,"CL:205",,,"5001-10000",,,,"2382",,1
,,,"CL:205",,,"10001-18000",,,,"2366",,1
"TILOMONTE (II Región de Antofagasta)",,,"CL:206",,,"0-3",,,,"12821",,1
,,,"CL:206",,,"3.1-6",,,,"3526",,1
,,,"CL:206",,,"6.1-10",,,,"3205",,1
,,,"CL:206",,,"10.1-20",,,,"3060",,1
,,,"CL:206",,,"21-50",,,,"2763",,1
,,,"CL:206",,,"51-100",,,,"2667",,1
,,,"CL:206",,,"101-200",,,,"2593",,1
,,,"CL:206",,,"201-400",,,,"2552",,1
,,,"CL:206",,,"401-600",,,,"2526",,1
,,,"CL:206",,,"601-1000",,,,"2492",,1
,,,"CL:206",,,"1001-2000",,,,"2461",,1
,,,"CL:206",,,"2001-3500",,,,"2424",,1
,,,"CL:206",,,"3501-5000",,,,"2409",,1
,,,"CL:206",,,"5001-10000",,,,"2382",,1
,,,"CL:206",,,"10001-18000",,,,"2366",,1
"TOCONCE (II Región de Antofagasta)",,,"CL:207",,,"0-3",,,,"12821",,1
,,,"CL:207",,,"3.1-6",,,,"3526",,1
,,,"CL:207",,,"6.1-10",,,,"3205",,1
,,,"CL:207",,,"10.1-20",,,,"3060",,1
,,,"CL:207",,,"21-50",,,,"2763",,1
,,,"CL:207",,,"51-100",,,,"2667",,1
,,,"CL:207",,,"101-200",,,,"2593",,1
,,,"CL:207",,,"201-400",,,,"2552",,1
,,,"CL:207",,,"401-600",,,,"2526",,1
,,,"CL:207",,,"601-1000",,,,"2492",,1
,,,"CL:207",,,"1001-2000",,,,"2461",,1
,,,"CL:207",,,"2001-3500",,,,"2424",,1
,,,"CL:207",,,"3501-5000",,,,"2409",,1
,,,"CL:207",,,"5001-10000",,,,"2382",,1
,,,"CL:207",,,"10001-18000",,,,"2366",,1
"TURI (II Región de Antofagasta)",,,"CL:208",,,"0-3",,,,"12821",,1
,,,"CL:208",,,"3.1-6",,,,"3526",,1
,,,"CL:208",,,"6.1-10",,,,"3205",,1
,,,"CL:208",,,"10.1-20",,,,"3060",,1
,,,"CL:208",,,"21-50",,,,"2763",,1
,,,"CL:208",,,"51-100",,,,"2667",,1
,,,"CL:208",,,"101-200",,,,"2593",,1
,,,"CL:208",,,"201-400",,,,"2552",,1
,,,"CL:208",,,"401-600",,,,"2526",,1
,,,"CL:208",,,"601-1000",,,,"2492",,1
,,,"CL:208",,,"1001-2000",,,,"2461",,1
,,,"CL:208",,,"2001-3500",,,,"2424",,1
,,,"CL:208",,,"3501-5000",,,,"2409",,1
,,,"CL:208",,,"5001-10000",,,,"2382",,1
,,,"CL:208",,,"10001-18000",,,,"2366",,1
"ANTOFAGASTA (II Región de Antofagasta)",,,"CL:209",,,"0-3",,,,"7452",,1
,,,"CL:209",,,"3.1-6",,,,"2404",,1
,,,"CL:209",,,"6.1-10",,,,"2365",,1
,,,"CL:209",,,"10.1-20",,,,"2341",,1
,,,"CL:209",,,"21-50",,,,"2330",,1
,,,"CL:209",,,"51-100",,,,"2325",,1
,,,"CL:209",,,"101-200",,,,"2323",,1
,,,"CL:209",,,"201-400",,,,"2322",,1
,,,"CL:209",,,"401-600",,,,"2322",,1
,,,"CL:209",,,"601-1000",,,,"2320",,1
,,,"CL:209",,,"1001-2000",,,,"2320",,1
,,,"CL:209",,,"2001-3500",,,,"2320",,1
,,,"CL:209",,,"3501-5000",,,,"2320",,1
,,,"CL:209",,,"5001-10000",,,,"2320",,1
,,,"CL:209",,,"10001-18000",,,,"2320",,1
"RANCHO ANTOFAGASTA (II Región de Antofagasta)",,,"CL:210",,,"0-3",,,,"7452",,1
,,,"CL:210",,,"3.1-6",,,,"2404",,1
,,,"CL:210",,,"6.1-10",,,,"2365",,1
,,,"CL:210",,,"10.1-20",,,,"2341",,1
,,,"CL:210",,,"21-50",,,,"2330",,1
,,,"CL:210",,,"51-100",,,,"2325",,1
,,,"CL:210",,,"101-200",,,,"2323",,1
,,,"CL:210",,,"201-400",,,,"2322",,1
,,,"CL:210",,,"401-600",,,,"2322",,1
,,,"CL:210",,,"601-1000",,,,"2320",,1
,,,"CL:210",,,"1001-2000",,,,"2320",,1
,,,"CL:210",,,"2001-3500",,,,"2320",,1
,,,"CL:210",,,"3501-5000",,,,"2320",,1
,,,"CL:210",,,"5001-10000",,,,"2320",,1
,,,"CL:210",,,"10001-18000",,,,"2320",,1
"BAQUEDANO (II Región de Antofagasta)",,,"CL:211",,,"0-3",,,,"8263",,1
,,,"CL:211",,,"3.1-6",,,,"2666",,1
,,,"CL:211",,,"6.1-10",,,,"2562",,1
,,,"CL:211",,,"10.1-20",,,,"2547",,1
,,,"CL:211",,,"21-50",,,,"2453",,1
,,,"CL:211",,,"51-100",,,,"2423",,1
,,,"CL:211",,,"101-200",,,,"2400",,1
,,,"CL:211",,,"201-400",,,,"2388",,1
,,,"CL:211",,,"401-600",,,,"2379",,1
,,,"CL:211",,,"601-1000",,,,"2369",,1
,,,"CL:211",,,"1001-2000",,,,"2361",,1
,,,"CL:211",,,"2001-3500",,,,"2350",,1
,,,"CL:211",,,"3501-5000",,,,"2346",,1
,,,"CL:211",,,"5001-10000",,,,"2338",,1
,,,"CL:211",,,"10001-18000",,,,"2333",,1
"CERRO MORENO (II Región de Antofagasta)",,,"CL:212",,,"0-3",,,,"8263",,1
,,,"CL:212",,,"3.1-6",,,,"2666",,1
,,,"CL:212",,,"6.1-10",,,,"2562",,1
,,,"CL:212",,,"10.1-20",,,,"2547",,1
,,,"CL:212",,,"21-50",,,,"2453",,1
,,,"CL:212",,,"51-100",,,,"2423",,1
,,,"CL:212",,,"101-200",,,,"2400",,1
,,,"CL:212",,,"201-400",,,,"2388",,1
,,,"CL:212",,,"401-600",,,,"2379",,1
,,,"CL:212",,,"601-1000",,,,"2369",,1
,,,"CL:212",,,"1001-2000",,,,"2361",,1
,,,"CL:212",,,"2001-3500",,,,"2350",,1
,,,"CL:212",,,"3501-5000",,,,"2346",,1
,,,"CL:212",,,"5001-10000",,,,"2338",,1
,,,"CL:212",,,"10001-18000",,,,"2333",,1
"JUAN LOPEZ (II Región de Antofagasta)",,,"CL:213",,,"0-3",,,,"8263",,1
,,,"CL:213",,,"3.1-6",,,,"2666",,1
,,,"CL:213",,,"6.1-10",,,,"2562",,1
,,,"CL:213",,,"10.1-20",,,,"2547",,1
,,,"CL:213",,,"21-50",,,,"2453",,1
,,,"CL:213",,,"51-100",,,,"2423",,1
,,,"CL:213",,,"101-200",,,,"2400",,1
,,,"CL:213",,,"201-400",,,,"2388",,1
,,,"CL:213",,,"401-600",,,,"2379",,1
,,,"CL:213",,,"601-1000",,,,"2369",,1
,,,"CL:213",,,"1001-2000",,,,"2361",,1
,,,"CL:213",,,"2001-3500",,,,"2350",,1
,,,"CL:213",,,"3501-5000",,,,"2346",,1
,,,"CL:213",,,"5001-10000",,,,"2338",,1
,,,"CL:213",,,"10001-18000",,,,"2333",,1
"LA NEGRA (II Región de Antofagasta)",,,"CL:214",,,"0-3",,,,"8263",,1
,,,"CL:214",,,"3.1-6",,,,"2666",,1
,,,"CL:214",,,"6.1-10",,,,"2562",,1
,,,"CL:214",,,"10.1-20",,,,"2547",,1
,,,"CL:214",,,"21-50",,,,"2453",,1
,,,"CL:214",,,"51-100",,,,"2423",,1
,,,"CL:214",,,"101-200",,,,"2400",,1
,,,"CL:214",,,"201-400",,,,"2388",,1
,,,"CL:214",,,"401-600",,,,"2379",,1
,,,"CL:214",,,"601-1000",,,,"2369",,1
,,,"CL:214",,,"1001-2000",,,,"2361",,1
,,,"CL:214",,,"2001-3500",,,,"2350",,1
,,,"CL:214",,,"3501-5000",,,,"2346",,1
,,,"CL:214",,,"5001-10000",,,,"2338",,1
,,,"CL:214",,,"10001-18000",,,,"2333",,1
"MEJILLONES (II Región de Antofagasta)",,,"CL:215",,,"0-3",,,,"8263",,1
,,,"CL:215",,,"3.1-6",,,,"2666",,1
,,,"CL:215",,,"6.1-10",,,,"2562",,1
,,,"CL:215",,,"10.1-20",,,,"2547",,1
,,,"CL:215",,,"21-50",,,,"2453",,1
,,,"CL:215",,,"51-100",,,,"2423",,1
,,,"CL:215",,,"101-200",,,,"2400",,1
,,,"CL:215",,,"201-400",,,,"2388",,1
,,,"CL:215",,,"401-600",,,,"2379",,1
,,,"CL:215",,,"601-1000",,,,"2369",,1
,,,"CL:215",,,"1001-2000",,,,"2361",,1
,,,"CL:215",,,"2001-3500",,,,"2350",,1
,,,"CL:215",,,"3501-5000",,,,"2346",,1
,,,"CL:215",,,"5001-10000",,,,"2338",,1
,,,"CL:215",,,"10001-18000",,,,"2333",,1
"PUERTO COLOSO (II Región de Antofagasta)",,,"CL:216",,,"0-3",,,,"8263",,1
,,,"CL:216",,,"3.1-6",,,,"2666",,1
,,,"CL:216",,,"6.1-10",,,,"2562",,1
,,,"CL:216",,,"10.1-20",,,,"2547",,1
,,,"CL:216",,,"21-50",,,,"2453",,1
,,,"CL:216",,,"51-100",,,,"2423",,1
,,,"CL:216",,,"101-200",,,,"2400",,1
,,,"CL:216",,,"201-400",,,,"2388",,1
,,,"CL:216",,,"401-600",,,,"2379",,1
,,,"CL:216",,,"601-1000",,,,"2369",,1
,,,"CL:216",,,"1001-2000",,,,"2361",,1
,,,"CL:216",,,"2001-3500",,,,"2350",,1
,,,"CL:216",,,"3501-5000",,,,"2346",,1
,,,"CL:216",,,"5001-10000",,,,"2338",,1
,,,"CL:216",,,"10001-18000",,,,"2333",,1
"ESTACION LA RIOJA (II Región de Antofagasta)",,,"CL:217",,,"0-3",,,,"10464",,1
,,,"CL:217",,,"3.1-6",,,,"2965",,1
,,,"CL:217",,,"6.1-10",,,,"2786",,1
,,,"CL:217",,,"10.1-20",,,,"2752",,1
,,,"CL:217",,,"21-50",,,,"2577",,1
,,,"CL:217",,,"51-100",,,,"2521",,1
,,,"CL:217",,,"101-200",,,,"2477",,1
,,,"CL:217",,,"201-400",,,,"2453",,1
,,,"CL:217",,,"401-600",,,,"2438",,1
,,,"CL:217",,,"601-1000",,,,"2419",,1
,,,"CL:217",,,"1001-2000",,,,"2401",,1
,,,"CL:217",,,"2001-3500",,,,"2379",,1
,,,"CL:217",,,"3501-5000",,,,"2372",,1
,,,"CL:217",,,"5001-10000",,,,"2356",,1
,,,"CL:217",,,"10001-18000",,,,"2347",,1
"HORNITOS (II Región de Antofagasta)",,,"CL:218",,,"0-3",,,,"10464",,1
,,,"CL:218",,,"3.1-6",,,,"2965",,1
,,,"CL:218",,,"6.1-10",,,,"2786",,1
,,,"CL:218",,,"10.1-20",,,,"2752",,1
,,,"CL:218",,,"21-50",,,,"2577",,1
,,,"CL:218",,,"51-100",,,,"2521",,1
,,,"CL:218",,,"101-200",,,,"2477",,1
,,,"CL:218",,,"201-400",,,,"2453",,1
,,,"CL:218",,,"401-600",,,,"2438",,1
,,,"CL:218",,,"601-1000",,,,"2419",,1
,,,"CL:218",,,"1001-2000",,,,"2401",,1
,,,"CL:218",,,"2001-3500",,,,"2379",,1
,,,"CL:218",,,"3501-5000",,,,"2372",,1
,,,"CL:218",,,"5001-10000",,,,"2356",,1
,,,"CL:218",,,"10001-18000",,,,"2347",,1
"MANTOS BLANCOS (II Región de Antofagasta)",,,"CL:219",,,"0-3",,,,"10464",,1
,,,"CL:219",,,"3.1-6",,,,"2965",,1
,,,"CL:219",,,"6.1-10",,,,"2786",,1
,,,"CL:219",,,"10.1-20",,,,"2752",,1
,,,"CL:219",,,"21-50",,,,"2577",,1
,,,"CL:219",,,"51-100",,,,"2521",,1
,,,"CL:219",,,"101-200",,,,"2477",,1
,,,"CL:219",,,"201-400",,,,"2453",,1
,,,"CL:219",,,"401-600",,,,"2438",,1
,,,"CL:219",,,"601-1000",,,,"2419",,1
,,,"CL:219",,,"1001-2000",,,,"2401",,1
,,,"CL:219",,,"2001-3500",,,,"2379",,1
,,,"CL:219",,,"3501-5000",,,,"2372",,1
,,,"CL:219",,,"5001-10000",,,,"2356",,1
,,,"CL:219",,,"10001-18000",,,,"2347",,1
"MARIA ELENA (II Región de Antofagasta)",,,"CL:220",,,"0-3",,,,"10464",,1
,,,"CL:220",,,"3.1-6",,,,"2965",,1
,,,"CL:220",,,"6.1-10",,,,"2786",,1
,,,"CL:220",,,"10.1-20",,,,"2752",,1
,,,"CL:220",,,"21-50",,,,"2577",,1
,,,"CL:220",,,"51-100",,,,"2521",,1
,,,"CL:220",,,"101-200",,,,"2477",,1
,,,"CL:220",,,"201-400",,,,"2453",,1
,,,"CL:220",,,"401-600",,,,"2438",,1
,,,"CL:220",,,"601-1000",,,,"2419",,1
,,,"CL:220",,,"1001-2000",,,,"2401",,1
,,,"CL:220",,,"2001-3500",,,,"2379",,1
,,,"CL:220",,,"3501-5000",,,,"2372",,1
,,,"CL:220",,,"5001-10000",,,,"2356",,1
,,,"CL:220",,,"10001-18000",,,,"2347",,1
"MARIA ELENA SOQUIMICH (II Región de Antofagasta)",,,"CL:221",,,"0-3",,,,"10464",,1
,,,"CL:221",,,"3.1-6",,,,"2965",,1
,,,"CL:221",,,"6.1-10",,,,"2786",,1
,,,"CL:221",,,"10.1-20",,,,"2752",,1
,,,"CL:221",,,"21-50",,,,"2577",,1
,,,"CL:221",,,"51-100",,,,"2521",,1
,,,"CL:221",,,"101-200",,,,"2477",,1
,,,"CL:221",,,"201-400",,,,"2453",,1
,,,"CL:221",,,"401-600",,,,"2438",,1
,,,"CL:221",,,"601-1000",,,,"2419",,1
,,,"CL:221",,,"1001-2000",,,,"2401",,1
,,,"CL:221",,,"2001-3500",,,,"2379",,1
,,,"CL:221",,,"3501-5000",,,,"2372",,1
,,,"CL:221",,,"5001-10000",,,,"2356",,1
,,,"CL:221",,,"10001-18000",,,,"2347",,1
"MINA LOMAS BAYAS (II Región de Antofagasta)",,,"CL:222",,,"0-3",,,,"10464",,1
,,,"CL:222",,,"3.1-6",,,,"2965",,1
,,,"CL:222",,,"6.1-10",,,,"2786",,1
,,,"CL:222",,,"10.1-20",,,,"2752",,1
,,,"CL:222",,,"21-50",,,,"2577",,1
,,,"CL:222",,,"51-100",,,,"2521",,1
,,,"CL:222",,,"101-200",,,,"2477",,1
,,,"CL:222",,,"201-400",,,,"2453",,1
,,,"CL:222",,,"401-600",,,,"2438",,1
,,,"CL:222",,,"601-1000",,,,"2419",,1
,,,"CL:222",,,"1001-2000",,,,"2401",,1
,,,"CL:222",,,"2001-3500",,,,"2379",,1
,,,"CL:222",,,"3501-5000",,,,"2372",,1
,,,"CL:222",,,"5001-10000",,,,"2356",,1
,,,"CL:222",,,"10001-18000",,,,"2347",,1
"MINA MICHILLA (II Región de Antofagasta)",,,"CL:223",,,"0-3",,,,"10464",,1
,,,"CL:223",,,"3.1-6",,,,"2965",,1
,,,"CL:223",,,"6.1-10",,,,"2786",,1
,,,"CL:223",,,"10.1-20",,,,"2752",,1
,,,"CL:223",,,"21-50",,,,"2577",,1
,,,"CL:223",,,"51-100",,,,"2521",,1
,,,"CL:223",,,"101-200",,,,"2477",,1
,,,"CL:223",,,"201-400",,,,"2453",,1
,,,"CL:223",,,"401-600",,,,"2438",,1
,,,"CL:223",,,"601-1000",,,,"2419",,1
,,,"CL:223",,,"1001-2000",,,,"2401",,1
,,,"CL:223",,,"2001-3500",,,,"2379",,1
,,,"CL:223",,,"3501-5000",,,,"2372",,1
,,,"CL:223",,,"5001-10000",,,,"2356",,1
,,,"CL:223",,,"10001-18000",,,,"2347",,1
"SIERRA GORDA (II Región de Antofagasta)",,,"CL:224",,,"0-3",,,,"10464",,1
,,,"CL:224",,,"3.1-6",,,,"2965",,1
,,,"CL:224",,,"6.1-10",,,,"2786",,1
,,,"CL:224",,,"10.1-20",,,,"2752",,1
,,,"CL:224",,,"21-50",,,,"2577",,1
,,,"CL:224",,,"51-100",,,,"2521",,1
,,,"CL:224",,,"101-200",,,,"2477",,1
,,,"CL:224",,,"201-400",,,,"2453",,1
,,,"CL:224",,,"401-600",,,,"2438",,1
,,,"CL:224",,,"601-1000",,,,"2419",,1
,,,"CL:224",,,"1001-2000",,,,"2401",,1
,,,"CL:224",,,"2001-3500",,,,"2379",,1
,,,"CL:224",,,"3501-5000",,,,"2372",,1
,,,"CL:224",,,"5001-10000",,,,"2356",,1
,,,"CL:224",,,"10001-18000",,,,"2347",,1
"TOCOPILLA (II Región de Antofagasta)",,,"CL:225",,,"0-3",,,,"10464",,1
,,,"CL:225",,,"3.1-6",,,,"2965",,1
,,,"CL:225",,,"6.1-10",,,,"2786",,1
,,,"CL:225",,,"10.1-20",,,,"2752",,1
,,,"CL:225",,,"21-50",,,,"2577",,1
,,,"CL:225",,,"51-100",,,,"2521",,1
,,,"CL:225",,,"101-200",,,,"2477",,1
,,,"CL:225",,,"201-400",,,,"2453",,1
,,,"CL:225",,,"401-600",,,,"2438",,1
,,,"CL:225",,,"601-1000",,,,"2419",,1
,,,"CL:225",,,"1001-2000",,,,"2401",,1
,,,"CL:225",,,"2001-3500",,,,"2379",,1
,,,"CL:225",,,"3501-5000",,,,"2372",,1
,,,"CL:225",,,"5001-10000",,,,"2356",,1
,,,"CL:225",,,"10001-18000",,,,"2347",,1
"AGUA VERDE (II Región de Antofagasta)",,,"CL:226",,,"0-3",,,,"13209",,1
,,,"CL:226",,,"3.1-6",,,,"3526",,1
,,,"CL:226",,,"6.1-10",,,,"3205",,1
,,,"CL:226",,,"10.1-20",,,,"3060",,1
,,,"CL:226",,,"21-50",,,,"2763",,1
,,,"CL:226",,,"51-100",,,,"2667",,1
,,,"CL:226",,,"101-200",,,,"2593",,1
,,,"CL:226",,,"201-400",,,,"2552",,1
,,,"CL:226",,,"401-600",,,,"2525",,1
,,,"CL:226",,,"601-1000",,,,"2492",,1
,,,"CL:226",,,"1001-2000",,,,"2461",,1
,,,"CL:226",,,"2001-3500",,,,"2424",,1
,,,"CL:226",,,"3501-5000",,,,"2411",,1
,,,"CL:226",,,"5001-10000",,,,"2382",,1
,,,"CL:226",,,"10001-18000",,,,"2366",,1
"AZUFRERA (II Región de Antofagasta)",,,"CL:227",,,"0-3",,,,"13209",,1
,,,"CL:227",,,"3.1-6",,,,"3526",,1
,,,"CL:227",,,"6.1-10",,,,"3205",,1
,,,"CL:227",,,"10.1-20",,,,"3060",,1
,,,"CL:227",,,"21-50",,,,"2763",,1
,,,"CL:227",,,"51-100",,,,"2667",,1
,,,"CL:227",,,"101-200",,,,"2593",,1
,,,"CL:227",,,"201-400",,,,"2552",,1
,,,"CL:227",,,"401-600",,,,"2525",,1
,,,"CL:227",,,"601-1000",,,,"2492",,1
,,,"CL:227",,,"1001-2000",,,,"2461",,1
,,,"CL:227",,,"2001-3500",,,,"2424",,1
,,,"CL:227",,,"3501-5000",,,,"2411",,1
,,,"CL:227",,,"5001-10000",,,,"2382",,1
,,,"CL:227",,,"10001-18000",,,,"2366",,1
"AZUFRERA PLATO DE SOPA (II Región de Antofagasta)",,,"CL:228",,,"0-3",,,,"13209",,1
,,,"CL:228",,,"3.1-6",,,,"3526",,1
,,,"CL:228",,,"6.1-10",,,,"3205",,1
,,,"CL:228",,,"10.1-20",,,,"3060",,1
,,,"CL:228",,,"21-50",,,,"2763",,1
,,,"CL:228",,,"51-100",,,,"2667",,1
,,,"CL:228",,,"101-200",,,,"2593",,1
,,,"CL:228",,,"201-400",,,,"2552",,1
,,,"CL:228",,,"401-600",,,,"2525",,1
,,,"CL:228",,,"601-1000",,,,"2492",,1
,,,"CL:228",,,"1001-2000",,,,"2461",,1
,,,"CL:228",,,"2001-3500",,,,"2424",,1
,,,"CL:228",,,"3501-5000",,,,"2411",,1
,,,"CL:228",,,"5001-10000",,,,"2382",,1
,,,"CL:228",,,"10001-18000",,,,"2366",,1
"BLANCO ENCALADA (II Región de Antofagasta)",,,"CL:229",,,"0-3",,,,"13209",,1
,,,"CL:229",,,"3.1-6",,,,"3526",,1
,,,"CL:229",,,"6.1-10",,,,"3205",,1
,,,"CL:229",,,"10.1-20",,,,"3060",,1
,,,"CL:229",,,"21-50",,,,"2763",,1
,,,"CL:229",,,"51-100",,,,"2667",,1
,,,"CL:229",,,"101-200",,,,"2593",,1
,,,"CL:229",,,"201-400",,,,"2552",,1
,,,"CL:229",,,"401-600",,,,"2525",,1
,,,"CL:229",,,"601-1000",,,,"2492",,1
,,,"CL:229",,,"1001-2000",,,,"2461",,1
,,,"CL:229",,,"2001-3500",,,,"2424",,1
,,,"CL:229",,,"3501-5000",,,,"2411",,1
,,,"CL:229",,,"5001-10000",,,,"2382",,1
,,,"CL:229",,,"10001-18000",,,,"2366",,1
"BRITANIA (II Región de Antofagasta)",,,"CL:230",,,"0-3",,,,"13209",,1
,,,"CL:230",,,"3.1-6",,,,"3526",,1
,,,"CL:230",,,"6.1-10",,,,"3205",,1
,,,"CL:230",,,"10.1-20",,,,"3060",,1
,,,"CL:230",,,"21-50",,,,"2763",,1
,,,"CL:230",,,"51-100",,,,"2667",,1
,,,"CL:230",,,"101-200",,,,"2593",,1
,,,"CL:230",,,"201-400",,,,"2552",,1
,,,"CL:230",,,"401-600",,,,"2525",,1
,,,"CL:230",,,"601-1000",,,,"2492",,1
,,,"CL:230",,,"1001-2000",,,,"2461",,1
,,,"CL:230",,,"2001-3500",,,,"2424",,1
,,,"CL:230",,,"3501-5000",,,,"2411",,1
,,,"CL:230",,,"5001-10000",,,,"2382",,1
,,,"CL:230",,,"10001-18000",,,,"2366",,1
"CALETA BOTIJA (II Región de Antofagasta)",,,"CL:231",,,"0-3",,,,"13209",,1
,,,"CL:231",,,"3.1-6",,,,"3526",,1
,,,"CL:231",,,"6.1-10",,,,"3205",,1
,,,"CL:231",,,"10.1-20",,,,"3060",,1
,,,"CL:231",,,"21-50",,,,"2763",,1
,,,"CL:231",,,"51-100",,,,"2667",,1
,,,"CL:231",,,"101-200",,,,"2593",,1
,,,"CL:231",,,"201-400",,,,"2552",,1
