"zone","continent","country","state","postcode","class","weight","price","quantity","volume","cost","comment","active"
,,,"CL:1644",,,"6.1-10",,,,"2661",,1
,,,"CL:1644",,,"10.1-20",,,,"2644",,1
,,,"CL:1644",,,"21-50",,,,"2551",,1
,,,"CL:1644",,,"51-100",,,,"2521",,1
,,,"CL:1644",,,"101-200",,,,"2497",,1
,,,"CL:1644",,,"201-400",,,,"2486",,1
,,,"CL:1644",,,"401-600",,,,"2478",,1
,,,"CL:1644",,,"601-1000",,,,"2467",,1
,,,"CL:1644",,,"1001-2000",,,,"2459",,1
,,,"CL:1644",,,"2001-3500",,,,"2449",,1
,,,"CL:1644",,,"3501-5000",,,,"2444",,1
,,,"CL:1644",,,"5001-10000",,,,"2436",,1
,,,"CL:1644",,,"10001-18000",,,,"2431",,1
"VILLA FRONTERA (XV Región de Arica y Parinacota)",,,"CL:1645",,,"0-3",,,,"8577",,1
,,,"CL:1645",,,"3.1-6",,,,"2768",,1
,,,"CL:1645",,,"6.1-10",,,,"2661",,1
,,,"CL:1645",,,"10.1-20",,,,"2644",,1
,,,"CL:1645",,,"21-50",,,,"2551",,1
,,,"CL:1645",,,"51-100",,,,"2521",,1
,,,"CL:1645",,,"101-200",,,,"2497",,1
,,,"CL:1645",,,"201-400",,,,"2486",,1
,,,"CL:1645",,,"401-600",,,,"2478",,1
,,,"CL:1645",,,"601-1000",,,,"2467",,1
,,,"CL:1645",,,"1001-2000",,,,"2459",,1
,,,"CL:1645",,,"2001-3500",,,,"2449",,1
,,,"CL:1645",,,"3501-5000",,,,"2444",,1
,,,"CL:1645",,,"5001-10000",,,,"2436",,1
,,,"CL:1645",,,"10001-18000",,,,"2431",,1
"CAMARONES (XV Región de Arica y Parinacota)",,,"CL:1646",,,"0-3",,,,"10759",,1
,,,"CL:1646",,,"3.1-6",,,,"3067",,1
,,,"CL:1646",,,"6.1-10",,,,"2886",,1
,,,"CL:1646",,,"10.1-20",,,,"2851",,1
,,,"CL:1646",,,"21-50",,,,"2677",,1
,,,"CL:1646",,,"51-100",,,,"2620",,1
,,,"CL:1646",,,"101-200",,,,"2575",,1
,,,"CL:1646",,,"201-400",,,,"2551",,1
,,,"CL:1646",,,"401-600",,,,"2536",,1
,,,"CL:1646",,,"601-1000",,,,"2516",,1
,,,"CL:1646",,,"1001-2000",,,,"2498",,1
,,,"CL:1646",,,"2001-3500",,,,"2478",,1
,,,"CL:1646",,,"3501-5000",,,,"2470",,1
,,,"CL:1646",,,"5001-10000",,,,"2453",,1
,,,"CL:1646",,,"10001-18000",,,,"2444",,1
"CUYA (XV Región de Arica y Parinacota)",,,"CL:1647",,,"0-3",,,,"10759",,1
,,,"CL:1647",,,"3.1-6",,,,"3067",,1
,,,"CL:1647",,,"6.1-10",,,,"2886",,1
,,,"CL:1647",,,"10.1-20",,,,"2851",,1
,,,"CL:1647",,,"21-50",,,,"2677",,1
,,,"CL:1647",,,"51-100",,,,"2620",,1
,,,"CL:1647",,,"101-200",,,,"2575",,1
,,,"CL:1647",,,"201-400",,,,"2551",,1
,,,"CL:1647",,,"401-600",,,,"2536",,1
,,,"CL:1647",,,"601-1000",,,,"2516",,1
,,,"CL:1647",,,"1001-2000",,,,"2498",,1
,,,"CL:1647",,,"2001-3500",,,,"2478",,1
,,,"CL:1647",,,"3501-5000",,,,"2470",,1
,,,"CL:1647",,,"5001-10000",,,,"2453",,1
,,,"CL:1647",,,"10001-18000",,,,"2444",,1
"CUZ CUZ (XV Región de Arica y Parinacota)",,,"CL:1648",,,"0-3",,,,"10759",,1
,,,"CL:1648",,,"3.1-6",,,,"3067",,1
,,,"CL:1648",,,"6.1-10",,,,"2886",,1
,,,"CL:1648",,,"10.1-20",,,,"2851",,1
,,,"CL:1648",,,"21-50",,,,"2677",,1
,,,"CL:1648",,,"51-100",,,,"2620",,1
,,,"CL:1648",,,"101-200",,,,"2575",,1
,,,"CL:1648",,,"201-400",,,,"2551",,1
,,,"CL:1648",,,"401-600",,,,"2536",,1
,,,"CL:1648",,,"601-1000",,,,"2516",,1
,,,"CL:1648",,,"1001-2000",,,,"2498",,1
,,,"CL:1648",,,"2001-3500",,,,"2478",,1
,,,"CL:1648",,,"3501-5000",,,,"2470",,1
,,,"CL:1648",,,"5001-10000",,,,"2453",,1
,,,"CL:1648",,,"10001-18000",,,,"2444",,1
"MOLINOS (XV Región de Arica y Parinacota)",,,"CL:1649",,,"0-3",,,,"10759",,1
,,,"CL:1649",,,"3.1-6",,,,"3067",,1
,,,"CL:1649",,,"6.1-10",,,,"2886",,1
,,,"CL:1649",,,"10.1-20",,,,"2851",,1
,,,"CL:1649",,,"21-50",,,,"2677",,1
,,,"CL:1649",,,"51-100",,,,"2620",,1
,,,"CL:1649",,,"101-200",,,,"2575",,1
,,,"CL:1649",,,"201-400",,,,"2551",,1
,,,"CL:1649",,,"401-600",,,,"2536",,1
,,,"CL:1649",,,"601-1000",,,,"2516",,1
,,,"CL:1649",,,"1001-2000",,,,"2498",,1
,,,"CL:1649",,,"2001-3500",,,,"2478",,1
,,,"CL:1649",,,"3501-5000",,,,"2470",,1
,,,"CL:1649",,,"5001-10000",,,,"2453",,1
,,,"CL:1649",,,"10001-18000",,,,"2444",,1
"AGUAS CALIENTES (XV Región de Arica y Parinacota)",,,"CL:1650",,,"0-3",,,,"13505",,1
,,,"CL:1650",,,"3.1-6",,,,"3627",,1
,,,"CL:1650",,,"6.1-10",,,,"3306",,1
,,,"CL:1650",,,"10.1-20",,,,"3159",,1
,,,"CL:1650",,,"21-50",,,,"2862",,1
,,,"CL:1650",,,"51-100",,,,"2764",,1
,,,"CL:1650",,,"101-200",,,,"2690",,1
,,,"CL:1650",,,"201-400",,,,"2651",,1
,,,"CL:1650",,,"401-600",,,,"2625",,1
,,,"CL:1650",,,"601-1000",,,,"2590",,1
,,,"CL:1650",,,"1001-2000",,,,"2560",,1
,,,"CL:1650",,,"2001-3500",,,,"2522",,1
,,,"CL:1650",,,"3501-5000",,,,"2507",,1
,,,"CL:1650",,,"5001-10000",,,,"2478",,1
,,,"CL:1650",,,"10001-18000",,,,"2464",,1
"AZUFRERA TACORA (XV Región de Arica y Parinacota)",,,"CL:1651",,,"0-3",,,,"13505",,1
,,,"CL:1651",,,"3.1-6",,,,"3627",,1
,,,"CL:1651",,,"6.1-10",,,,"3306",,1
,,,"CL:1651",,,"10.1-20",,,,"3159",,1
,,,"CL:1651",,,"21-50",,,,"2862",,1
,,,"CL:1651",,,"51-100",,,,"2764",,1
,,,"CL:1651",,,"101-200",,,,"2690",,1
,,,"CL:1651",,,"201-400",,,,"2651",,1
,,,"CL:1651",,,"401-600",,,,"2625",,1
,,,"CL:1651",,,"601-1000",,,,"2590",,1
,,,"CL:1651",,,"1001-2000",,,,"2560",,1
,,,"CL:1651",,,"2001-3500",,,,"2522",,1
,,,"CL:1651",,,"3501-5000",,,,"2507",,1
,,,"CL:1651",,,"5001-10000",,,,"2478",,1
,,,"CL:1651",,,"10001-18000",,,,"2464",,1
"BELEN (XV Región de Arica y Parinacota)",,,"CL:1652",,,"0-3",,,,"13505",,1
,,,"CL:1652",,,"3.1-6",,,,"3627",,1
,,,"CL:1652",,,"6.1-10",,,,"3306",,1
,,,"CL:1652",,,"10.1-20",,,,"3159",,1
,,,"CL:1652",,,"21-50",,,,"2862",,1
,,,"CL:1652",,,"51-100",,,,"2764",,1
,,,"CL:1652",,,"101-200",,,,"2690",,1
,,,"CL:1652",,,"201-400",,,,"2651",,1
,,,"CL:1652",,,"401-600",,,,"2625",,1
,,,"CL:1652",,,"601-1000",,,,"2590",,1
,,,"CL:1652",,,"1001-2000",,,,"2560",,1
,,,"CL:1652",,,"2001-3500",,,,"2522",,1
,,,"CL:1652",,,"3501-5000",,,,"2507",,1
,,,"CL:1652",,,"5001-10000",,,,"2478",,1
,,,"CL:1652",,,"10001-18000",,,,"2464",,1
"CALETA CAMARONES (XV Región de Arica y Parinacota)",,,"CL:1653",,,"0-3",,,,"13505",,1
,,,"CL:1653",,,"3.1-6",,,,"3627",,1
,,,"CL:1653",,,"6.1-10",,,,"3306",,1
,,,"CL:1653",,,"10.1-20",,,,"3159",,1
,,,"CL:1653",,,"21-50",,,,"2862",,1
,,,"CL:1653",,,"51-100",,,,"2764",,1
,,,"CL:1653",,,"101-200",,,,"2690",,1
,,,"CL:1653",,,"201-400",,,,"2651",,1
,,,"CL:1653",,,"401-600",,,,"2625",,1
,,,"CL:1653",,,"601-1000",,,,"2590",,1
,,,"CL:1653",,,"1001-2000",,,,"2560",,1
,,,"CL:1653",,,"2001-3500",,,,"2522",,1
,,,"CL:1653",,,"3501-5000",,,,"2507",,1
,,,"CL:1653",,,"5001-10000",,,,"2478",,1
,,,"CL:1653",,,"10001-18000",,,,"2464",,1
"CAQUENA (XV Región de Arica y Parinacota)",,,"CL:1654",,,"0-3",,,,"13505",,1
,,,"CL:1654",,,"3.1-6",,,,"3627",,1
,,,"CL:1654",,,"6.1-10",,,,"3306",,1
,,,"CL:1654",,,"10.1-20",,,,"3159",,1
,,,"CL:1654",,,"21-50",,,,"2862",,1
,,,"CL:1654",,,"51-100",,,,"2764",,1
,,,"CL:1654",,,"101-200",,,,"2690",,1
,,,"CL:1654",,,"201-400",,,,"2651",,1
,,,"CL:1654",,,"401-600",,,,"2625",,1
,,,"CL:1654",,,"601-1000",,,,"2590",,1
,,,"CL:1654",,,"1001-2000",,,,"2560",,1
,,,"CL:1654",,,"2001-3500",,,,"2522",,1
,,,"CL:1654",,,"3501-5000",,,,"2507",,1
,,,"CL:1654",,,"5001-10000",,,,"2478",,1
,,,"CL:1654",,,"10001-18000",,,,"2464",,1
"CHACUYO (XV Región de Arica y Parinacota)",,,"CL:1655",,,"0-3",,,,"13505",,1
,,,"CL:1655",,,"3.1-6",,,,"3627",,1
,,,"CL:1655",,,"6.1-10",,,,"3306",,1
,,,"CL:1655",,,"10.1-20",,,,"3159",,1
,,,"CL:1655",,,"21-50",,,,"2862",,1
,,,"CL:1655",,,"51-100",,,,"2764",,1
,,,"CL:1655",,,"101-200",,,,"2690",,1
,,,"CL:1655",,,"201-400",,,,"2651",,1
,,,"CL:1655",,,"401-600",,,,"2625",,1
,,,"CL:1655",,,"601-1000",,,,"2590",,1
,,,"CL:1655",,,"1001-2000",,,,"2560",,1
,,,"CL:1655",,,"2001-3500",,,,"2522",,1
,,,"CL:1655",,,"3501-5000",,,,"2507",,1
,,,"CL:1655",,,"5001-10000",,,,"2478",,1
,,,"CL:1655",,,"10001-18000",,,,"2464",,1
"CHAPIQUIÑA (XV Región de Arica y Parinacota)",,,"CL:1656",,,"0-3",,,,"13505",,1
,,,"CL:1656",,,"3.1-6",,,,"3627",,1
,,,"CL:1656",,,"6.1-10",,,,"3306",,1
,,,"CL:1656",,,"10.1-20",,,,"3159",,1
,,,"CL:1656",,,"21-50",,,,"2862",,1
,,,"CL:1656",,,"51-100",,,,"2764",,1
,,,"CL:1656",,,"101-200",,,,"2690",,1
,,,"CL:1656",,,"201-400",,,,"2651",,1
,,,"CL:1656",,,"401-600",,,,"2625",,1
,,,"CL:1656",,,"601-1000",,,,"2590",,1
,,,"CL:1656",,,"1001-2000",,,,"2560",,1
,,,"CL:1656",,,"2001-3500",,,,"2522",,1
,,,"CL:1656",,,"3501-5000",,,,"2507",,1
,,,"CL:1656",,,"5001-10000",,,,"2478",,1
,,,"CL:1656",,,"10001-18000",,,,"2464",,1
"CHICAYA (XV Región de Arica y Parinacota)",,,"CL:1657",,,"0-3",,,,"13505",,1
,,,"CL:1657",,,"3.1-6",,,,"3627",,1
,,,"CL:1657",,,"6.1-10",,,,"3306",,1
,,,"CL:1657",,,"10.1-20",,,,"3159",,1
,,,"CL:1657",,,"21-50",,,,"2862",,1
,,,"CL:1657",,,"51-100",,,,"2764",,1
,,,"CL:1657",,,"101-200",,,,"2690",,1
,,,"CL:1657",,,"201-400",,,,"2651",,1
,,,"CL:1657",,,"401-600",,,,"2625",,1
,,,"CL:1657",,,"601-1000",,,,"2590",,1
,,,"CL:1657",,,"1001-2000",,,,"2560",,1
,,,"CL:1657",,,"2001-3500",,,,"2522",,1
,,,"CL:1657",,,"3501-5000",,,,"2507",,1
,,,"CL:1657",,,"5001-10000",,,,"2478",,1
,,,"CL:1657",,,"10001-18000",,,,"2464",,1
"CHOQUELIMPIE (XV Región de Arica y Parinacota)",,,"CL:1658",,,"0-3",,,,"13505",,1
,,,"CL:1658",,,"3.1-6",,,,"3627",,1
,,,"CL:1658",,,"6.1-10",,,,"3306",,1
,,,"CL:1658",,,"10.1-20",,,,"3159",,1
,,,"CL:1658",,,"21-50",,,,"2862",,1
,,,"CL:1658",,,"51-100",,,,"2764",,1
,,,"CL:1658",,,"101-200",,,,"2690",,1
,,,"CL:1658",,,"201-400",,,,"2651",,1
,,,"CL:1658",,,"401-600",,,,"2625",,1
,,,"CL:1658",,,"601-1000",,,,"2590",,1
,,,"CL:1658",,,"1001-2000",,,,"2560",,1
,,,"CL:1658",,,"2001-3500",,,,"2522",,1
,,,"CL:1658",,,"3501-5000",,,,"2507",,1
,,,"CL:1658",,,"5001-10000",,,,"2478",,1
,,,"CL:1658",,,"10001-18000",,,,"2464",,1
"CODPA (XV Región de Arica y Parinacota)",,,"CL:1659",,,"0-3",,,,"13505",,1
,,,"CL:1659",,,"3.1-6",,,,"3627",,1
,,,"CL:1659",,,"6.1-10",,,,"3306",,1
,,,"CL:1659",,,"10.1-20",,,,"3159",,1
,,,"CL:1659",,,"21-50",,,,"2862",,1
,,,"CL:1659",,,"51-100",,,,"2764",,1
,,,"CL:1659",,,"101-200",,,,"2690",,1
,,,"CL:1659",,,"201-400",,,,"2651",,1
,,,"CL:1659",,,"401-600",,,,"2625",,1
,,,"CL:1659",,,"601-1000",,,,"2590",,1
,,,"CL:1659",,,"1001-2000",,,,"2560",,1
,,,"CL:1659",,,"2001-3500",,,,"2522",,1
,,,"CL:1659",,,"3501-5000",,,,"2507",,1
,,,"CL:1659",,,"5001-10000",,,,"2478",,1
,,,"CL:1659",,,"10001-18000",,,,"2464",,1
"COPAQUILLA (XV Región de Arica y Parinacota)",,,"CL:1660",,,"0-3",,,,"13505",,1
,,,"CL:1660",,,"3.1-6",,,,"3627",,1
,,,"CL:1660",,,"6.1-10",,,,"3306",,1
,,,"CL:1660",,,"10.1-20",,,,"3159",,1
,,,"CL:1660",,,"21-50",,,,"2862",,1
,,,"CL:1660",,,"51-100",,,,"2764",,1
,,,"CL:1660",,,"101-200",,,,"2690",,1
,,,"CL:1660",,,"201-400",,,,"2651",,1
,,,"CL:1660",,,"401-600",,,,"2625",,1
,,,"CL:1660",,,"601-1000",,,,"2590",,1
,,,"CL:1660",,,"1001-2000",,,,"2560",,1
,,,"CL:1660",,,"2001-3500",,,,"2522",,1
,,,"CL:1660",,,"3501-5000",,,,"2507",,1
,,,"CL:1660",,,"5001-10000",,,,"2478",,1
,,,"CL:1660",,,"10001-18000",,,,"2464",,1
"CORONEL ALCERRECA (XV Región de Arica y Parinacota)",,,"CL:1661",,,"0-3",,,,"13505",,1
,,,"CL:1661",,,"3.1-6",,,,"3627",,1
,,,"CL:1661",,,"6.1-10",,,,"3306",,1
,,,"CL:1661",,,"10.1-20",,,,"3159",,1
,,,"CL:1661",,,"21-50",,,,"2862",,1
,,,"CL:1661",,,"51-100",,,,"2764",,1
,,,"CL:1661",,,"101-200",,,,"2690",,1
,,,"CL:1661",,,"201-400",,,,"2651",,1
,,,"CL:1661",,,"401-600",,,,"2625",,1
,,,"CL:1661",,,"601-1000",,,,"2590",,1
,,,"CL:1661",,,"1001-2000",,,,"2560",,1
,,,"CL:1661",,,"2001-3500",,,,"2522",,1
,,,"CL:1661",,,"3501-5000",,,,"2507",,1
,,,"CL:1661",,,"5001-10000",,,,"2478",,1
,,,"CL:1661",,,"10001-18000",,,,"2464",,1
"COSAPILLA (XV Región de Arica y Parinacota)",,,"CL:1662",,,"0-3",,,,"13505",,1
,,,"CL:1662",,,"3.1-6",,,,"3627",,1
,,,"CL:1662",,,"6.1-10",,,,"3306",,1
,,,"CL:1662",,,"10.1-20",,,,"3159",,1
,,,"CL:1662",,,"21-50",,,,"2862",,1
,,,"CL:1662",,,"51-100",,,,"2764",,1
,,,"CL:1662",,,"101-200",,,,"2690",,1
,,,"CL:1662",,,"201-400",,,,"2651",,1
,,,"CL:1662",,,"401-600",,,,"2625",,1
,,,"CL:1662",,,"601-1000",,,,"2590",,1
,,,"CL:1662",,,"1001-2000",,,,"2560",,1
,,,"CL:1662",,,"2001-3500",,,,"2522",,1
,,,"CL:1662",,,"3501-5000",,,,"2507",,1
,,,"CL:1662",,,"5001-10000",,,,"2478",,1
,,,"CL:1662",,,"10001-18000",,,,"2464",,1
"ESQUINA (XV Región de Arica y Parinacota)",,,"CL:1663",,,"0-3",,,,"13505",,1
,,,"CL:1663",,,"3.1-6",,,,"3627",,1
,,,"CL:1663",,,"6.1-10",,,,"3306",,1
,,,"CL:1663",,,"10.1-20",,,,"3159",,1
,,,"CL:1663",,,"21-50",,,,"2862",,1
,,,"CL:1663",,,"51-100",,,,"2764",,1
,,,"CL:1663",,,"101-200",,,,"2690",,1
,,,"CL:1663",,,"201-400",,,,"2651",,1
,,,"CL:1663",,,"401-600",,,,"2625",,1
,,,"CL:1663",,,"601-1000",,,,"2590",,1
,,,"CL:1663",,,"1001-2000",,,,"2560",,1
,,,"CL:1663",,,"2001-3500",,,,"2522",,1
,,,"CL:1663",,,"3501-5000",,,,"2507",,1
,,,"CL:1663",,,"5001-10000",,,,"2478",,1
,,,"CL:1663",,,"10001-18000",,,,"2464",,1
"GENERAL LAGOS (XV Región de Arica y Parinacota)",,,"CL:1664",,,"0-3",,,,"13505",,1
,,,"CL:1664",,,"3.1-6",,,,"3627",,1
,,,"CL:1664",,,"6.1-10",,,,"3306",,1
,,,"CL:1664",,,"10.1-20",,,,"3159",,1
,,,"CL:1664",,,"21-50",,,,"2862",,1
,,,"CL:1664",,,"51-100",,,,"2764",,1
,,,"CL:1664",,,"101-200",,,,"2690",,1
,,,"CL:1664",,,"201-400",,,,"2651",,1
,,,"CL:1664",,,"401-600",,,,"2625",,1
,,,"CL:1664",,,"601-1000",,,,"2590",,1
,,,"CL:1664",,,"1001-2000",,,,"2560",,1
,,,"CL:1664",,,"2001-3500",,,,"2522",,1
,,,"CL:1664",,,"3501-5000",,,,"2507",,1
,,,"CL:1664",,,"5001-10000",,,,"2478",,1
,,,"CL:1664",,,"10001-18000",,,,"2464",,1
"GUACOLLO (XV Región de Arica y Parinacota)",,,"CL:1665",,,"0-3",,,,"13505",,1
,,,"CL:1665",,,"3.1-6",,,,"3627",,1
,,,"CL:1665",,,"6.1-10",,,,"3306",,1
,,,"CL:1665",,,"10.1-20",,,,"3159",,1
,,,"CL:1665",,,"21-50",,,,"2862",,1
,,,"CL:1665",,,"51-100",,,,"2764",,1
,,,"CL:1665",,,"101-200",,,,"2690",,1
,,,"CL:1665",,,"201-400",,,,"2651",,1
,,,"CL:1665",,,"401-600",,,,"2625",,1
,,,"CL:1665",,,"601-1000",,,,"2590",,1
,,,"CL:1665",,,"1001-2000",,,,"2560",,1
,,,"CL:1665",,,"2001-3500",,,,"2522",,1
,,,"CL:1665",,,"3501-5000",,,,"2507",,1
,,,"CL:1665",,,"5001-10000",,,,"2478",,1
,,,"CL:1665",,,"10001-18000",,,,"2464",,1
"GUALLATIRI (XV Región de Arica y Parinacota)",,,"CL:1666",,,"0-3",,,,"13505",,1
,,,"CL:1666",,,"3.1-6",,,,"3627",,1
,,,"CL:1666",,,"6.1-10",,,,"3306",,1
,,,"CL:1666",,,"10.1-20",,,,"3159",,1
,,,"CL:1666",,,"21-50",,,,"2862",,1
,,,"CL:1666",,,"51-100",,,,"2764",,1
,,,"CL:1666",,,"101-200",,,,"2690",,1
,,,"CL:1666",,,"201-400",,,,"2651",,1
,,,"CL:1666",,,"401-600",,,,"2625",,1
,,,"CL:1666",,,"601-1000",,,,"2590",,1
,,,"CL:1666",,,"1001-2000",,,,"2560",,1
,,,"CL:1666",,,"2001-3500",,,,"2522",,1
,,,"CL:1666",,,"3501-5000",,,,"2507",,1
,,,"CL:1666",,,"5001-10000",,,,"2478",,1
,,,"CL:1666",,,"10001-18000",,,,"2464",,1
"GUANACAHUA (XV Región de Arica y Parinacota)",,,"CL:1667",,,"0-3",,,,"13505",,1
,,,"CL:1667",,,"3.1-6",,,,"3627",,1
,,,"CL:1667",,,"6.1-10",,,,"3306",,1
,,,"CL:1667",,,"10.1-20",,,,"3159",,1
,,,"CL:1667",,,"21-50",,,,"2862",,1
,,,"CL:1667",,,"51-100",,,,"2764",,1
,,,"CL:1667",,,"101-200",,,,"2690",,1
,,,"CL:1667",,,"201-400",,,,"2651",,1
,,,"CL:1667",,,"401-600",,,,"2625",,1
,,,"CL:1667",,,"601-1000",,,,"2590",,1
,,,"CL:1667",,,"1001-2000",,,,"2560",,1
,,,"CL:1667",,,"2001-3500",,,,"2522",,1
,,,"CL:1667",,,"3501-5000",,,,"2507",,1
,,,"CL:1667",,,"5001-10000",,,,"2478",,1
,,,"CL:1667",,,"10001-18000",,,,"2464",,1
